RowID,Drink ID,Drink Name,Category,Alcoholic,Glass,Instructions,Ingredients,Ingredients Measure,Ingredients_Full
54,17246,Empellón Cocina's Fat-Washed Mezcal,Cocktail,ALCOHOLIC,BEER GLASS,"To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs): 4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin. Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth. Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion. If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade. Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it. The mezcal is now ready for drinking, straight-up or in a cocktail. Habanero tincture Slice habaneros and add 2 ounces Ilegal Joven mezcal. Allow to sit overnight or until desired level of heat is achieved. Cocktail Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds. Strain into chilled coupe. Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon. Garnish with 5 drops habanero tincture.","Mezcal, Chocolate liqueur, Coffee liqueur","2 oz, 3/4 oz, 1/2 oz","Mezcal: 2 oz, Chocolate liqueur: 3/4 oz, Coffee liqueur: 1/2 oz"
55,17248,French Negroni,Cocktail,ALCOHOLIC,MARTINI GLASS,"Add ice to a shaker and pour in all ingredients. Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled. Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.","Gin, Lillet, Sweet Vermouth, Orange Peel","1 oz, 1 oz, 1 oz, 1","Gin: 1 oz, Lillet: 1 oz, Sweet Vermouth: 1 oz, Orange Peel: 1"
56,17250,Corpse Reviver,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Shake, strain, straight up, cocktail glass rinsed with absinthe","Gin, Triple Sec, Lillet Blanc, Lemon Juice, Absinthe","3/4 oz, 3/4 oz, 3/4 oz, 3/4 oz, 1 dash","Gin: 3/4 oz, Triple Sec: 3/4 oz, Lillet Blanc: 3/4 oz, Lemon Juice: 3/4 oz, Absinthe: 1 dash"
57,17251,Boulevardier,Cocktail,ALCOHOLIC,MARTINI GLASS,"Stir with ice, strain, garnish and serve.","Campari, Sweet Vermouth, Rye whiskey, Orange Peel","1 oz, 1 oz, 1 1/4 oz, 1","Campari: 1 oz, Sweet Vermouth: 1 oz, Rye whiskey: 1 1/4 oz, Orange Peel: 1"
58,17252,Greyhound,Cocktail,ALCOHOLIC,COLLINS GLASS,Add the vodka to a Collins glass filled with ice. Top with grapefruit juice and stir.,"Vodka, Grapefruit Juice","1 1/2 oz, 3 oz","Vodka: 1 1/2 oz, Grapefruit Juice: 3 oz"
59,17254,Bijou,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Stir in mixing glass with ice and strain,"Orange Bitters, Green Chartreuse, Gin, Sweet Vermouth","1 dash, 1 oz, 1 oz, 1 oz","Orange Bitters: 1 dash, Green Chartreuse: 1 oz, Gin: 1 oz, Sweet Vermouth: 1 oz"
60,17255,Gimlet,Cocktail,ALCOHOLIC,MARTINI GLASS,"Add all the ingredients to a shaker and fill with ice. Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice. Garnish with a lime wheel.","Gin, Lime Juice, Sugar Syrup, Lime","2 1/2 oz, 1/2 oz, 1/2 oz, 1","Gin: 2 1/2 oz, Lime Juice: 1/2 oz, Sugar Syrup: 1/2 oz, Lime: 1"
61,17256,Martinez 2,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Add all ingredients to a mixing glass and fill with ice. Stir until chilled, and strain into a chilled coupe glass.","Gin, Sweet Vermouth, Maraschino Liqueur, Angostura Bitters","1 1/2 oz, 1 1/2 oz, 1 tsp, 2 dashes","Gin: 1 1/2 oz, Sweet Vermouth: 1 1/2 oz, Maraschino Liqueur: 1 tsp, Angostura Bitters: 2 dashes"
62,17267,Bahama Mama,Cocktail,ALCOHOLIC,HIGHBALL GLASS,Add 2 parts club soda or more or less to taste. Mix it all together and pour over a bunch of ice. Drink with a straw.,"Rum, Dark Rum, Banana liqueur, Grenadine, Pineapple Juice, Orange Juice, Sweet and Sour","3 parts, 1 part, 1 part, 1 part, 2 parts, 2 parts, 1 part","Rum: 3 parts, Dark Rum: 1 part, Banana liqueur: 1 part, Grenadine: 1 part, Pineapple Juice: 2 parts, Orange Juice: 2 parts, Sweet and Sour: 1 part"
63,17268,Blue Hurricane,Cocktail,ALCOHOLIC,HIGHBALL GLASS,If each part is 1/2 oz then use about 2.5 cups of ice. Blend it all together. Drink it with a big straw if you have one.,"Rum, Dark Rum, Passoa, Blue Curacao, Sweet and Sour, Ice","4 parts, 2 parts, 1 part, 1 part, 6 parts, cubes","Rum: 4 parts, Dark Rum: 2 parts, Passoa: 1 part, Blue Curacao: 1 part, Sweet and Sour: 6 parts, Ice: cubes"
64,17825,Brigadier,Cocktail,ALCOHOLIC,COUPE GLASS,Mix ingredients in a warmed mug and stir.,"Hot Chocolate, Green Chartreuse, Cherry Heering","4 oz, 1 oz, 1 oz","Hot Chocolate: 4 oz, Green Chartreuse: 1 oz, Cherry Heering: 1 oz"
65,17830,Corn n Oil,Cocktail,ALCOHOLIC,OLD-FASHIONED GLASS,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.","Lime, Falernum, Angostura Bitters, Añejo rum, blackstrap rum","1/2, 1/3 oz, 2 dashes, 1 oz, 1 oz","Lime: 1/2, Falernum: 1/3 oz, Angostura Bitters: 2 dashes, Añejo rum: 1 oz, blackstrap rum: 1 oz"
66,178309,Espresso Rumtini,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,"Rum, Vanilla syrup, Espresso, Coffee","1 shot, 1/2 shot, 1 shot, 1 shot","Rum: 1 shot, Vanilla syrup: 1/2 shot, Espresso: 1 shot, Coffee: 1 shot"
67,178310,Brooklyn,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,"Rye Whiskey, Dry Vermouth, Maraschino Liqueur, Angostura Bitters, Maraschino Cherry","2 oz, 1 oz, 1/4 oz, 3 dashes, 1","Rye Whiskey: 2 oz, Dry Vermouth: 1 oz, Maraschino Liqueur: 1/4 oz, Angostura Bitters: 3 dashes, Maraschino Cherry: 1"
68,178311,Broadside,Cocktail,ALCOHOLIC,HIGHBALL GLASS,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!","151 proof rum, Scotch, Bitters, Wormwood, Ice","1 shot, 1/2 shot, 3 drops, 1 Fresh, cubes","151 proof rum: 1 shot, Scotch: 1/2 shot, Bitters: 3 drops, Wormwood: 1 Fresh, Ice: cubes"
69,178314,Gin Basil Smash,Cocktail,ALCOHOLIC,HIGHBALL GLASS,Muddle Basil leaves (~ 10) with Suggar Syrup in a shaker. Add Gin an Lemon Juice. Filter and serve in a tumbler with ice,"Gin, Lemon Juice, Sugar Syrup, Basil","6 cl, 2 cl, 2 cl, Whole","Gin: 6 cl, Lemon Juice: 2 cl, Sugar Syrup: 2 cl, Basil: Whole"
70,178316,Honey Bee,Cocktail,ALCOHOLIC,MARGARITA GLASS,Shake ingredients with crushed ice,"White Rum, Honey, Lemon Juice","6 cl, 2 cl, 2 cl","White Rum: 6 cl, Honey: 2 cl, Lemon Juice: 2 cl"
71,178317,Bee's Knees,Cocktail,ALCOHOLIC,MARTINI GLASS,Shake ingredients with crushed ice Garnish with orange peel,"Gold rum, Orange Juice, Lime Juice, Triple Sec","6 cl, 2 cl, 2 cl, 2 jiggers","Gold rum: 6 cl, Orange Juice: 2 cl, Lime Juice: 2 cl, Triple Sec: 2 jiggers"
72,178318,747 Drink,Cocktail,ALCOHOLIC,HIGHBALL GLASS,"Fill a Collins glass with ice. Pour in vodka, lime cordial, and cranberry juice. Fill up with Sprite. Garnish with a Lime wheel or some cranberries","Vodka, Roses sweetened lime juice, Cranberry Juice, Sprite","1 oz, 1 oz, 1 oz, Top","Vodka: 1 oz, Roses sweetened lime juice: 1 oz, Cranberry Juice: 1 oz, Sprite: Top"
73,178319,Aquamarine,Cocktail,ALCOHOLIC,MARTINI GLASS,Shake well in a shaker with ice. Strain in a martini glass.,"Hpnotiq, Pineapple Juice, Banana Liqueur","2 oz, 1 oz, 1 oz","Hpnotiq: 2 oz, Pineapple Juice: 1 oz, Banana Liqueur: 1 oz"
74,178320,Banana Cream Pi,Cocktail,ALCOHOLIC,WINE GLASS,Serve over ice.,"Malibu Rum, Banana Liqueur, Pineapple Juice","1 oz, 1 oz, Top","Malibu Rum: 1 oz, Banana Liqueur: 1 oz, Pineapple Juice: Top"
75,178321,Amaretto fizz,Cocktail,ALCOHOLIC,COLLINS GLASS,"Mix Amaretto, orange juice and sparkling wine in a jug. Add a strip orange zest to each glass, if you like.","Amaretto, Orange Juice, White Wine, Orange Peel","4 cl, 6 cl, 15 cl, Garnish with","Amaretto: 4 cl, Orange Juice: 6 cl, White Wine: 15 cl, Orange Peel: Garnish with"
76,178325,Aperol Spritz,Cocktail,ALCOHOLIC,WINE GLASS,"Put a couple of cubes of ice into 2 glasses and add a 50 ml measure of Aperol to each. Divide the prosecco between the glasses and then top up with soda, if you like.","Aperol, Prosecco, Soda Water","100 ml, 150 ml, Top","Aperol: 100 ml, Prosecco: 150 ml, Soda Water: Top"
77,178328,Funk and Soul,Cocktail,ALCOHOLIC,COLLINS GLASS,Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,"Rum, Apricot Nectar, Pomegranate juice, lemon, Soda Water","2 shots, 1 shot, 1 shot, Juice of 1/2, Top","Rum: 2 shots, Apricot Nectar: 1 shot, Pomegranate juice: 1 shot, lemon: Juice of 1/2, Soda Water: Top"
78,178329,Captain Kidd's Punch,Cocktail,ALCOHOLIC,COLLINS GLASS,Mix all ingredients together in a shaker and strain into a collins glass. Use Caribbean dark Rum for a sweeter taste.,"Rum, Lime Juice, Egg White, Bitters, Sugar, Nutmeg","2 shots, 1 shot, 1 shot, 1 dash, Ground, Top","Rum: 2 shots, Lime Juice: 1 shot, Egg White: 1 shot, Bitters: 1 dash, Sugar: Ground, Nutmeg: Top"
79,178331,Bounty Hunter,Cocktail,ALCOHOLIC,MARGARITA GLASS,"Add the spirits into a shaker as well as the pineapple juice, strain into a Margarita glass. Top with Prosecco and garnish with Blueberries.","Rum, Coconut Liqueur, Blueberries, Pineapple Juice, Prosecco","1 shot, 1 shot, Garnish with, Dash, Top","Rum: 1 shot, Coconut Liqueur: 1 shot, Blueberries: Garnish with, Pineapple Juice: Dash, Prosecco: Top"
80,178334,Death in the Afternoon,Cocktail,ALCOHOLIC,MARGARITA GLASS,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.","Absinthe, Champagne","2 shots, Top","Absinthe: 2 shots, Champagne: Top"
81,178335,Lazy Coconut Paloma,Cocktail,ALCOHOLIC,HIGHBALL GLASS,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,"Coconut Liqueur, Grapefruit Juice, Soda Water","30 ml, 75 ml, Top","Coconut Liqueur: 30 ml, Grapefruit Juice: 75 ml, Soda Water: Top"
82,178336,Blueberry Mojito,Cocktail,ALCOHOLIC,HIGHBALL GLASS,Muddle the blueberries with the other ingredients and serve in a highball glass. Garnish with mint and a half slice of lime.,"Dark Rum, Lime Juice, Sugar, Blueberries, Lemon-lime soda","2 shots, 1 shot, Dash, Whole, Top","Dark Rum: 2 shots, Lime Juice: 1 shot, Sugar: Dash, Blueberries: Whole, Lemon-lime soda: Top"
83,178337,Autumn Garibaldi,Cocktail,ALCOHOLIC,CORDIAL GLASS,Pour all ingredients into a glass over ice and stir with a bar spoon. Garnish with some orange slices.,"Campari, Orange Juice, Ginger Beer, Orange Peel","1 1/2 oz, 2 1/2 oz, 2 1/2 oz, Garnish with","Campari: 1 1/2 oz, Orange Juice: 2 1/2 oz, Ginger Beer: 2 1/2 oz, Orange Peel: Garnish with"
84,178340,Garibaldi Negroni,Cocktail,ALCOHOLIC,HIGHBALL GLASS,Mix together in a shaker and garnish with a simple orange slice. Fill your vitamin C and cocktail fix at the same time!,"Gin, Campari, Orange Juice, Orange Peel","30 ml, 30 ml, 90 ml, Garnish with","Gin: 30 ml, Campari: 30 ml, Orange Juice: 90 ml, Orange Peel: Garnish with"
85,178342,Gin and Soda,Cocktail,ALCOHOLIC,HIGHBALL GLASS,Pour the Gin and Soda water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.,"Gin, Soda Water, Lime","2 oz, 5 oz, 1/4","Gin: 2 oz, Soda Water: 5 oz, Lime: 1/4"
86,178343,Michelada,Cocktail,ALCOHOLIC,PINT GLASS,"Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce. Served In a chilled, salt-rimmed glass","Beer, Tomato Juice, Lime Juice, Hot Sauce, Worcestershire Sauce, Soy Sauce","4 oz, 4 oz, 1 tblsp, Dash, Dash, Dash","Beer: 4 oz, Tomato Juice: 4 oz, Lime Juice: 1 tblsp, Hot Sauce: Dash, Worcestershire Sauce: Dash, Soy Sauce: Dash"
87,178344,Figgy Thyme,Cocktail,ALCOHOLIC,HIGHBALL GLASS,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.","Vodka, Honey, Figs, Thyme, Angostura Bitters, Tonic Water","2 oz, 1 tsp, 3, 1 Sprig, 2 dashes, Top","Vodka: 2 oz, Honey: 1 tsp, Figs: 3, Thyme: 1 Sprig, Angostura Bitters: 2 dashes, Tonic Water: Top"
88,178345,Hot Toddy,Cocktail,ALCOHOLIC,IRISH COFFEE CUP,"STEP 1 Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water. STEP 2 Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately.","Whiskey, Honey, Cinnamon, lemon, Cloves","50 ml, 15 ml, 1, 1, 2","Whiskey: 50 ml, Honey: 15 ml, Cinnamon: 1, lemon: 1, Cloves: 2"
89,178346,Elderflower Caipirinha,Cocktail,ALCOHOLIC,COLLINS GLASS,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,"Cachaca, Lime, Elderflower cordial","60 ml, 1, 3 cl","Cachaca: 60 ml, Lime: 1, Elderflower cordial: 3 cl"
90,178352,Frosé,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Step 1 Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours. Step 2 Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes. Step 3 Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes. Step 4 Blend again until frosé is slushy. Divide among glasses. Step 5 Do Ahead: Rosé can be frozen 1 week ahead.","Rose, Sugar, Strawberries, Lemon Juice","750 ml, 1/2 cup, 8 oz, 2-3 oz","Rose: 750 ml, Sugar: 1/2 cup, Strawberries: 8 oz, Lemon Juice: 2-3 oz"
91,178353,Apple Highball,Cocktail,ALCOHOLIC,HIGHBALL GLASS,"Add ice in a highball glass. Rub a wedge of fresh lime around rim and place it in the glass. Add a shot of Apple schnapps, a shot of Courvoisier and top up with ginger ale.","Lime, Apple Schnapps, Cognac, Ginger","Chopped, 1 shot, 1 shot, Top","Lime: Chopped, Apple Schnapps: 1 shot, Cognac: 1 shot, Ginger: Top"
92,178356,Butterfly Effect,Cocktail,ALCOHOLIC,HURRICANE GLASS,"Grab your boston tin, fill it with cubes ice and then simply chuck in all your ingredients apart from your lemonade. Now it’s time to shake what your mama gave you until all your ingredients are blended to perfection. Add some cubes of ice to your hurricane glass, give them a swill to cool the whole thing down and then strain your raspberry vodka cocktail of wonder into the glass. Top with lemonade and chuck a sprig of mint on top for garnish. You can either get drinking at this point or go and try and grab a few butterflies to finish, the choice really is yours.","Raspberry Vodka, Cranberry Juice, Lemonade, Blue Curacao, Sugar Syrup, Lime Juice, Mint","50 ml, 25 ml, 25 ml, 10 ml, 10 ml, Dash, Sprig","Raspberry Vodka: 50 ml, Cranberry Juice: 25 ml, Lemonade: 25 ml, Blue Curacao: 10 ml, Sugar Syrup: 10 ml, Lime Juice: Dash, Mint: Sprig"
93,178358,Mango Mojito,Cocktail,ALCOHOLIC,JAR,"Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée. Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint. Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like.","Lime, Mango, Mint, White Rum, Ice, Soda Water, Mango","3, 1 Fresh, Sprig, 200 ml, cubes, Top, Garnish with","Lime: 3, Mango: 1 Fresh, Mint: Sprig, White Rum: 200 ml, Ice: cubes, Soda Water: Top, Mango: Garnish with"
94,178359,Kiwi Martini,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink. For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka.","Kiwi, Sugar Syrup, Vodka, Kiwi","1/2, 1 tsp, 1 1/2 oz, Garnish with","Kiwi: 1/2, Sugar Syrup: 1 tsp, Vodka: 1 1/2 oz, Kiwi: Garnish with"
95,178360,Lemon Elderflower Spritzer,Cocktail,ALCOHOLIC,HIGHBALL GLASS,"Pour all ingredients over ice, stir and enjoy!","Elderflower cordial, Vodka, Soda Water, Fresh Lemon Juice","2 tsp, 1 shot, 1/3 cup, Top","Elderflower cordial: 2 tsp, Vodka: 1 shot, Soda Water: 1/3 cup, Fresh Lemon Juice: Top"
96,178365,Gin Tonic,Cocktail,ALCOHOLIC,HIGHBALL GLASS,"Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.","Gin, Tonic Water, Lemon Peel, Ice","4 cl, 10 cl, 1 Slice, cubes","Gin: 4 cl, Tonic Water: 10 cl, Lemon Peel: 1 Slice, Ice: cubes"
97,178366,Gin Lemon,Cocktail,ALCOHOLIC,HIGHBALL GLASS,"For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.","Gin, Lemon Juice, Lemon Peel, Ice","6 cl, 8 cl, 1 Slice, cubes","Gin: 6 cl, Lemon Juice: 8 cl, Lemon Peel: 1 Slice, Ice: cubes"
98,178369,Cocktail Horse’s Neck,Cocktail,ALCOHOLIC,HIGHBALL GLASS,"Wash and brush an organic, untreated lemon, then cut a spiral of lemon peel, using a citrus peel. If it is too large, cut it with a sharp knife. Put some ice in a tall tumbler glass, place the lemon peel inside and pour the cognac, add the ginger beer and let 2-3 drops of Angostura fall into it. Easy to do, but once you try it you'll love it.","Cognac, Ginger Beer, Angostura Bitters, Lemon Peel","4 cl, 100 ml, 3 drops, 1","Cognac: 4 cl, Ginger Beer: 100 ml, Angostura Bitters: 3 drops, Lemon Peel: 1"
99,178370,Mauresque,Cocktail,ALCOHOLIC,COLLINS GLASS,"1 - Pour the Ricard (or pastis) 2 - Pour the orgeat syrup 3 - Finally pour the water and add ice cubes at your convenience. Add the ice cubes at the end, otherwise the syrup and pastis do not mix well.","Ricard, Orgeat Syrup, Water","3 cl, 1 cl, Full Glass","Ricard: 3 cl, Orgeat Syrup: 1 cl, Water: Full Glass"
